뉴스ID,뉴스GUID,일자(UTC timestamp),뉴스제목,본문,SENTIMENT,주요코인,카테고리,작성자,추천수,비추천수,출처,뉴스URL,이미지URL
13368507,https://cointelegraph.com/news/first-world-fat-cat-jamie-dimon-doesnt-understand-poverty-bashes-bitcoin,1508455150,"First World Fat Cat Jamie Dimon Doesn’t Understand Poverty, Bashes Bitcoin","Bitcoin&apos;s use in the developing world can bypass expensive fees and help people to stretch their money further, is more stable than some fiat currencies",POSITIVE,없음,BTC | FIAT,,0,0,CoinTelegraph,https://cointelegraph.com/news/first-world-fat-cat-jamie-dimon-doesnt-understand-poverty-bashes-bitcoin,https://images.cryptocompare.com/news/cointelegraph/f08wF1424hM.jpeg
13242272,http://www.newsbtc.com/?p=50882,1508454825,The First Decentralized Multi Task e-Chat Messenger Pre-ICO Begins!,"On October 16th, a Hong Kong start-up, developing a decentralized multi-task e-Chat messenger, announced the start of pre-ICO! At the moment, e-Chat is already a working application, the potential audience of which accounts for more than 3 billion people! The market already has a large number of instant messengers, but e-Chat has a range of … Continue reading The First Decentralized Multi Task e-Chat Messenger Pre-ICO Begins!The post The First Decentralized Multi Task e-Chat Messenger Pre-ICO Begins! appeared first on NEWSBTC.",POSITIVE,없음,ASIA | MARKET,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/20/first-decentralized-multi-task-e-chat-messenger-pre-ico-begins/,https://images.cryptocompare.com/news/newsbtc/b81Y6m0ogN0.png
13242273,http://www.newsbtc.com/?p=50876,1508454014,Boulé brings voting to the Blockchain with upcoming ICO,"Boulé is a pioneering new voting system using blockchain technology to enable governments and electoral bodies to run secure, transparent elections. This revolutionary e-governance tool hopes to make electoral processes visible to all citizens, provide 100 percent accurate results, increase voter turnout and produce faster, cheaper and safer elections. Strengthening democracy &apos;So many areas of … Continue reading Boulé brings voting to the Blockchain with upcoming ICOThe post Boulé brings voting to the Blockchain with upcoming ICO appeared first on NEWSBTC.",POSITIVE,ICO,BLOCKCHAIN | ICO | TECHNOLOGY | TOKEN SALE,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/20/boule-blockchain-voting-ico/,https://images.cryptocompare.com/news/newsbtc/8y6M400020y.png
13242274,http://www.newsbtc.com/?p=50879,1508453347,Cointed Token ICO – starts in under 24 hours,"The established crypto company Cointed Ltd. will start its own ICO on 20.10.2017 to collect an extra budget of 120 million Dollars. With these funds, the internationalization of the company is to be further advanced. What makes the Cointed ICO Token so unique? Cointed does not merely present an idea that is to be implemented … Continue reading Cointed Token ICO - starts in under 24 hoursThe post Cointed Token ICO - starts in under 24 hours appeared first on NEWSBTC.",POSITIVE,ICO,ICO | TOKEN SALE,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/19/cointed-token-ico-starts-24-hours/,https://images.cryptocompare.com/news/newsbtc/cVQKiOc9yhc.jpeg
13242275,http://www.newsbtc.com/?p=50873,1508450968,"Secure Identity Ledger Corporation Goes Direct to Consumer with ICO, New Blockchain Platform to Put Consumers in Control of Their Online Identities","FALLS CHURCH, Va., Oct. 19, 2017- Secure Identity Ledger Corporation (SILC) ℠, the first digital identity platform for every person, business, and machine, announced the opening of its Initial Coin Offering (ICO). The ICO is currently ongoing. Unlike other ICOs this year, SILC did not offer its tokens to institutional investors in advance in what is … Continue reading Secure Identity Ledger Corporation Goes Direct to Consumer with ICO, New Blockchain Platform to Put Consumers in Control of Their Online IdentitiesThe post Secure Identity Ledger Corporation Goes Direct to Consumer with ICO, New Blockchain Platform to Put Consumers in Control of Their Online Identities appeared first on NEWSBTC.",POSITIVE,ICO,BLOCKCHAIN | BUSINESS | ICO | WALLET | TOKEN SALE,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/19/silc-goes-direct-consumer-ico/,https://images.cryptocompare.com/news/newsbtc/a0004000000.png
42427941,sd6iOBkuiC3F0LYOyL4qph,1508449524,Blockchain Startup Sun Exchange Raises $1.6 Million in New Seed Funding,"Blockchain startup Sun Exchange has raised $1.6 million in new seed funding.  The company drew support from a number investors, including Network Society Ventures, Kalon Venture Partners, and startup accelerators BoostVC, Techstars and Powerhouse. Back in September 2016, Sun Exchange was one of a batch of blockchain startups to join the Plug 'n Play startup accelerator.  Sun Exchange's platform uses blockchain as a way to let users rent out solar panels, with assets being recorded on a blockchain and payments made through cryptocurrency.  In comments, the startup said that it aims to democratize access to solar power, as well as boost access for those looking to capitalize on interest in consumer-grade renewable energy.  Sun Exchange CEO Abraham Cambridge said in a statement:  ""[Solar power] is the fastest growing source of energy, but billions of people don’t own their own roof or have the capital to get it. By breaking down solar panel ownership to a single cell we reduce the cost of going solar by two orders of magnitude and we’re utilizing empty roof space in some of the sunniest cities on the planet, such as Dubai and Johannesburg.""  Though accelerators like BoostVC and Techstars are no strangers to investing in blockchain startups, the seed funding appears to be a first in the industry for both Network Society Ventures and the South Africa-based Kalon.  Image via Shutterstock.com",POSITIVE,없음,BLOCKCHAIN | BUSINESS | EXCHANGE,Nikhilesh De,0,0,CoinDesk,https://coindesk.com/markets/2017/10/19/blockchain-startup-sun-exchange-raises-16-million-in-new-seed-funding,https://cdn.sanity.io/images/s3y3vcno/production/183a041caa1aae713694dc5c73d44118bcbc7024-1500x825.jpg?w=300&h=300&fit=crop
13242276,http://www.newsbtc.com/?p=50870,1508449038,STK Global Payments Announces Alex Tapscott as Newest Advisor,"STK Global Payments announced that Alex Tapscott will join the STK Advisory Board, providing strategic direction on the development and implementation of the STK token. STK is holding a Token Generation Event from November 13-24, 2017. A pre-sale will run from October 30-November 13, 2017. Built on the Ethereum blockchain as an ERC20 token, the … Continue reading STK Global Payments Announces Alex Tapscott as Newest AdvisorThe post STK Global Payments Announces Alex Tapscott as Newest Advisor appeared first on NEWSBTC.",POSITIVE,없음,BLOCKCHAIN | ETH | ICO,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/19/stk-global-payments-alex-tapscott/,https://images.cryptocompare.com/news/newsbtc/8E088y88Ew4.png
13242277,http://www.newsbtc.com/?p=50868,1508448609,"ICO, Banking, Energy, Healthcare, Retail and E-Gov as the Blockchain Trendiest Areas to be Discussed at Blockchain Conference Abu Dhabi","The blockchain industry has been developing more rapidly than the boldest forecasts predicted. Having become an integral part of the financial and banking spheres, it has already occupied its niche in medicine, insurance, document circulation, energy, retail and other economic spheres. Today, the blockchain is blooming. However, it is worth knowing what we may expect … Continue reading ICO, Banking, Energy, Healthcare, Retail and E-Gov as the Blockchain Trendiest Areas to be Discussed at Blockchain Conference Abu DhabiThe post ICO, Banking, Energy, Healthcare, Retail and E-Gov as the Blockchain Trendiest Areas to be Discussed at Blockchain Conference Abu Dhabi appeared first on NEWSBTC.",POSITIVE,ICO,BLOCKCHAIN | ICO | TOKEN SALE,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/19/abu-dhabi-bconference-2017-topics/,https://images.cryptocompare.com/news/newsbtc/8M000200000.jpeg
13368508,https://cointelegraph.com/news/lucyd-building-blockchain-fueled-smartglasses-with-mass-appeal,1508448157,Lucyd Building Blockchain-fueled Smartglasses With Mass Appeal,Lucyd is trying to outdo Google with their augmented reality glasses. Can it work?,NEUTRAL,없음,ICO,,0,0,CoinTelegraph,https://cointelegraph.com/news/lucyd-building-blockchain-fueled-smartglasses-with-mass-appeal,https://images.cryptocompare.com/news/cointelegraph/c181G10gDgk.jpeg
13242278,http://www.newsbtc.com/?p=50865,1508447819,Play2Live – The World’s First Decentralized Streaming Platform for Gamers and eSports Fans,"The way people seek entertainment has changed forever, while, as we all know, the blockchain is changing the way people spend money. The economy is becoming decentralized, and payments are becoming more secure and transparent. The new, blockchain-based and decentralized, video game and eSports streaming platform, Play2Live, is the first game streaming platform which brings … Continue reading Play2Live - The World&apos;s First Decentralized Streaming Platform for Gamers and eSports FansThe post Play2Live - The World&apos;s First Decentralized Streaming Platform for Gamers and eSports Fans appeared first on NEWSBTC.",POSITIVE,없음,BLOCKCHAIN,,0,0,NewsBTC,http://www.newsbtc.com/2017/10/19/play2live-first-decentralized-streaming-platform/,https://images.cryptocompare.com/news/newsbtc/80000000000.png
13441717,https://news.bitcoin.com/?p=71831,1508446802,Tezos Founders Enter Legal Battle for Control of $400m in Raised ICO Funds,"Founded by husband and wife, Kathleen and Arthur Breitman, Tezos is a decentralized platform that hosts smart contracts that seeks to compete with ethereum. Tezos&apos; initial coin offering (ICO) did not have a cap on investment and raised approximately $232 million - at the time comprising the largest ICO crowdsale to date. The 65,703 bitcoins ...The post Tezos Founders Enter Legal Battle for Control of $400m in Raised ICO Funds appeared first on Bitcoin News.",NEGATIVE,ICO,ALTCOIN | BTC | ICO | REGULATION | TOKEN SALE,,0,0,Bitcoin.com,https://news.bitcoin.com/tezos-founders-enter-legal-battle-for-control-of-400m-in-raised-funds/,https://images.cryptocompare.com/news/bitcoin.com/cQUb3569Q8M.jpeg
