뉴스ID,뉴스GUID,일자(UTC timestamp),뉴스제목,본문,SENTIMENT,주요코인,카테고리,작성자,추천수,비추천수,출처,뉴스URL,이미지URL
13456047,http://bitcoinist.com/?p=54147,1515627035,Experty Brings Professional Consultations and Blockchain Together,"Experty.io, a startup aiming to revolutionize the consultation market, will be launching its Initial Coin Offering in just a little over two weeks. What does this platform bring, and what problem does it solve? Experty.io - Connecting Advice Seekers to Knowledge Providers There is a substantial number of professionals around the world offering consultation services; from lawyers to doctors, many people are willing to share their experiences and advice to those that need it, possibly atRead MoreThe post Experty Brings Professional Consultations and Blockchain Together appeared first on Bitcoinist.com.",POSITIVE,없음,BLOCKCHAIN | ICO | MARKET | TOKEN SALE,,0,0,Bitcoinist,https://bitcoinist.com/experty-brings-professional-consultations-and-blockchain-together/,https://images.cryptocompare.com/news/bitcoinist/8gio$9Aqpai.jpeg
13440653,https://news.bitcoin.com/?p=98141,1515625802,Korean Regulators Launch Investigations of Bithumb and Coinone Crypto Exchanges,"The South Korean regulators have started investigating two major cryptocurrency exchanges. The country&apos;s National Tax Service has conducted an on-site investigation of Bithumb and Coinone. In addition, Coinone is also being investigated by the Korean police for allegedly offering illegal gambling services to investors. Also read: South Korea Urges 23 Countries, EU, and IMF to Collaborate ...The post Korean Regulators Launch Investigations of Bithumb and Coinone Crypto Exchanges appeared first on Bitcoin News.",NEGATIVE,없음,ASIA | BTC | BUSINESS | ICO | REGULATION,,0,0,Bitcoin.com,https://news.bitcoin.com/korean-regulators-launch-investigations-bithumb-coinone-crypto-exchanges/,https://images.cryptocompare.com/news/bitcoin.com/8owc520wwEA.png
42400832,DbF8Q09kuKX2XWBxAcL8Tt,1515625258,Mike Novogratz Unveils Plan for Cryptocurrency 'Merchant Bank',"Billionaire and ex-fund manager Mike Novogratz has unveiled the launch of a cryptocurrency ""merchant bank.""  Novogratz, a former chief investment officer for Fortress, is behind Galaxy Digital, which according to a Jan. 9 announcements will constitute a ""full service, digital assets merchant bank."" Described by some as a kind of ""Goldman Sachs for crypto,"" Bloomberg reports that the plan is to get the company listed on the TSX Venture Exchange and raise upwards of $200 million.  The venture will not offer any services to U.S. residents, according to the release.  While Novogratz's group has a plan outlined for the future bank's operations, as well as a partial list of Galaxy Digital's management, the press release noted that the proposal was contingent on being accepted by the Canadian TSX Venture Exchange, all parties completing their due diligence inspecting company assets, and the formation of a board of directors independent of both Galaxy Digital and Bradmer.  The groups aim to finish their respective due diligence work before the end of the first quarter in 2018, according to statements.  Galaxy Digital was previously set to launch a cryptocurrency hedge fund before Novogratz moved to scuttle the launch in late December. At the time, he cited the challenges involved in managing clients' cryptocurrencies in addition to his own portfolio and other conflicts of interest.  He also cited market conditions – bitcoin had fallen nearly 50 percent in the previous few days – according to a previous Bloomberg report.  Novogratz image via CoinDesk archives",POSITIVE,없음,BTC | EXCHANGE | FIAT | MARKET | SPONSORED,Nikhilesh De,0,0,CoinDesk,https://coindesk.com/markets/2018/01/10/mike-novogratz-unveils-plan-for-cryptocurrency-merchant-bank,https://cdn.sanity.io/images/s3y3vcno/production/e3f4849bc70ce55125ffdc94afdebc4c19945abb-1007x697.png?w=300&h=300&fit=crop
13440654,https://news.bitcoin.com/?p=97864,1515623966,Bitcoin Becomes A Trendy Way to Buy New Homes,"While some people still feel hesitant to accept cryptocurrencies, we see an increasing trend in the real estate markets. Over the last few months the number of sales of houses and land properties conducted in bitcoin have risen considerably. Also Read: Fantasy Market Porn Coin CEO Ghosts, ICO Folds, Investors Lose A New Way of Transferring ...The post Bitcoin Becomes A Trendy Way to Buy New Homes appeared first on Bitcoin News.",POSITIVE,ICO,BTC | BUSINESS | ICO | MARKET | TOKEN SALE,,0,0,Bitcoin.com,https://news.bitcoin.com/bitcoin-becomes-a-trendy-way-to-buy-new-homes/,https://images.cryptocompare.com/news/bitcoin.com/9e4430010wM.jpeg
13440655,https://news.bitcoin.com/?p=98052,1515623624,SEC Suspends Trading in Blockchain Firm With No Revenues and No Product,Financial regulators around the world seem to finally notice that some companies are trying to capitalize on the insatiable appetite for everything crypto by claiming a link to blockchain. Trading in the stocks of one such alleged company has now been stopped by the SEC. Also Read: Peak Blockchain Hype? Firm With No Revenues and ...The post SEC Suspends Trading in Blockchain Firm With No Revenues and No Product appeared first on Bitcoin News.,NEGATIVE,없음,ASIA | BLOCKCHAIN | BTC | REGULATION | TRADING,,0,0,Bitcoin.com,https://news.bitcoin.com/sec-suspends-trading-in-blockchain-firm-with-no-revenues-and-no-product/,https://images.cryptocompare.com/news/bitcoin.com/ew0w2200000.jpeg
13251549,https://themerkle.com/?p=46909,1515623578,Substratum’s Dark Side of the Moon,"Substratum is a project aiming to power the decentralized web by allowing free and equal internet access to users around the globe. The project promises to allow anyone to host a node and receive Substrate in return for contributing to the network. Currently the product is in closed-beta allowing only a select few participants, supposedly under an NDA, to test out the network. Substratum&apos;s price rose from $0.30 to over $2.50 in the last month alone, heading straight to the moon. However, due to some new information recently released, we must look at Substratum&apos;s dark side of the moon. Substratum",NEUTRAL,없음,ICO | TRADING | TOKEN SALE,,0,0,NullTx,https://themerkle.com/substratums-dark-side-of-the-moon/,https://images.cryptocompare.com/news/themerkle/9b000000020.jpeg
13367376,https://cointelegraph.com/news/using-blockchain-technology-to-enhance-location-based-advertising,1515623483,Using Blockchain Technology to Enhance Location-Based Advertising,"In the golden era of advertising, finding an audience was as easy as publishing an ad in a widely circulated newspaper, running a radio or TV spot, or putting up billboards in relevant areas. Not so anymore, but Blockchain can help.",POSITIVE,없음,BLOCKCHAIN | TECHNOLOGY,,0,0,CoinTelegraph,https://cointelegraph.com/news/using-blockchain-technology-to-enhance-location-based-advertising,https://images.cryptocompare.com/news/cointelegraph/e88EkcMM825.jpeg
13456048,http://bitcoinist.com/?p=54414,1515623443,Cointed: PayCo the Future of Payments,"Making digital currency part of everyday lives is any crypto enthusiast&apos;s dream. However, implementing cryptocurrency into the current payment systems is often turns infeasible or too costly. PayCo is a payment solution interface that allows clients to pay with crypto and the merchant to receive the payment in fiat. The Problem Although some vendors and merchants are including crypto in their payment options, there are two major problems slowing down the process. One of themRead MoreThe post Cointed: PayCo the Future of Payments appeared first on Bitcoinist.com.",POSITIVE,없음,FIAT,,0,0,Bitcoinist,https://bitcoinist.com/cointed-payco-future-payments/,https://images.cryptocompare.com/news/bitcoinist/a00200w0000.jpeg
13456049,http://bitcoinist.com/?p=54402,1515621644,Warren Buffett Still Won’t Admit He Got It Wrong On Bitcoin,"The Oracle of Omaha just doubled down on his Bitcoin predictions, while openly admitting he&apos;s got no idea what he&apos;s talking about. Back in 2014, legendary investor Warren Buffett went on CNBC&apos;s Squawk Box and claimed that Bitcoin was, &apos;a mirage,&apos; warning investors to stay away from bitcoin and, indeed, the cryptocurrency space as a whole. At the time, the digital currency was trading at around $600 per coin. Fast forward a few years (a littleRead MoreThe post Warren Buffett Still Won&apos;t Admit He Got It Wrong On Bitcoin appeared first on Bitcoinist.com.",NEGATIVE,없음,BTC | BUSINESS | TRADING,,0,0,Bitcoinist,https://bitcoinist.com/warren-buffett-still-wont-admit-got-wrong-bitcoin/,https://images.cryptocompare.com/news/bitcoinist/c4O7Hixo4Hb.jpeg
13456050,http://bitcoinist.com/?p=54412,1515619826,trade.io Introduces Revolutionary Blockchain Based Trade Verification Dapp,"Wednesday 10th January 2018, Zug Switzerland - Fresh off a highly successful ICO in which it raised over $31 million from 15,000 participants, trade.io has announced the release date for a semi-decentralized application to verify trade data on the blockchain. In simple terms, trade.io has developed a method for clients to ensure the data being displayed by their broker has not been tampered with and is 100% &apos;raw data&apos;. The application, called &apos;BTV&apos; orRead MoreThe post trade.io Introduces Revolutionary Blockchain Based Trade Verification Dapp appeared first on Bitcoinist.com.",POSITIVE,ICO,BLOCKCHAIN | ICO | TOKEN SALE,,0,0,Bitcoinist,https://bitcoinist.com/trade-io-introduces-revolutionary-blockchain-based-trade-verification-dapp/,https://images.cryptocompare.com/news/bitcoinist/d00Ug080200.jpeg
