뉴스ID,뉴스GUID,일자(UTC timestamp),뉴스제목,본문,SENTIMENT,주요코인,카테고리,작성자,추천수,비추천수,출처,뉴스URL,이미지URL
13358362,https://cointelegraph.com/news/japanese-general-trading-company-backs-blockchain-platform-for-wind-solar,1563924900,"Japanese General Trading Company Backs Blockchain Platform for Wind, Solar","Major Japanese general trading firm Marubeni Corp. has backed WePower, a blockchain-based energy project",POSITIVE,없음,ASIA | BLOCKCHAIN | TRADING,,0,0,CoinTelegraph,https://cointelegraph.com/news/japanese-general-trading-company-backs-blockchain-platform-for-wind-solar,https://images.cryptocompare.com/news/cointelegraph/82424G40caA.png
13358363,https://cointelegraph.com/news/new-york-state-digital-currency-task-force-appoints-new-members,1563923700,New York State Digital Currency Task Force Appoints New Members,New York state legislators have appointed six experts from various fields to the Digital Currency Task Force,POSITIVE,없음,BLOCKCHAIN | REGULATION,,0,0,CoinTelegraph,https://cointelegraph.com/news/new-york-state-digital-currency-task-force-appoints-new-members,https://images.cryptocompare.com/news/cointelegraph/dwwi834we0g.png
13450425,https://bitcoinist.com/?p=113647,1563922824,Bitcoin’s ‘Untouched Supply’ Reaches All-Time High of 21.6%,"Newly released data from Coin Metrics shows that the number of un-moved Bitcoin has risen to a new high. Does this mean Bitcoin is a better store of value or does it still have potential as a medium of exchange? Is HODLing Bitcoin Back in Style? Today, crypto-analyst and Tales From the Crypt podcast co-host Matt Odell noted that the amount of untouched Bitcoin has grown significantly over the past five years. Odell referenced aRead MoreThe post Bitcoin&apos;s &apos;Untouched Supply&apos; Reaches All-Time High of 21.6% appeared first on Bitcoinist.com.",POSITIVE,없음,BTC | EXCHANGE,,0,0,Bitcoinist,https://bitcoinist.com/bitcoins-untouched-supply-reaches-all-time-high-of-21-6/,https://images.cryptocompare.com/news/bitcoinist/cwCA6AkM0wi.jpeg
13584668,https://www.cryptopolitan.com/?p=20817,1563922815,Ethereum address accessibility increased with ETHSimple,"Ethereum address accessibility has just increased many folds with the ETHSimple portfolio viewing solution for the network. Bitcoin addresses are written in a human-friendly notation, the Base58Check, which actually made up of three parts. The first part is the prefix for the original payload that is to be delivered. The original payload is written in hex notation and then the concatenation is run through your very own SHA 256 algorithm twice to produce a 32-bit result. This answer is then post-fixed to a checksum in order to know if the transmitted data has been transferred without electronic spikes being a",POSITIVE,ETH,BTC | ETH,,0,0,Cryptopolitan,https://www.cryptopolitan.com/ethereum-address-accessibility-increased-with-ethsimple/,https://images.cryptocompare.com/news/cryptopolitan/cy084000000.jpeg
13435078,https://news.bitcoin.com/?p=325258,1563921456,Bitcoin Cash Adoption Continues to Spread in North Queensland and Japan,"BCH merchant acceptance has continued to grow month after month but there are a few regions in the world where bitcoin cash retail acceptance is thriving. Over the last few weeks, North Queensland and Japan have shown significant growth and continue to dominate as some of the densest territories of BCH merchant adoption worldwide. Also ...The post Bitcoin Cash Adoption Continues to Spread in North Queensland and Japan appeared first on Bitcoin News.",POSITIVE,BCH,ASIA | BCH,,0,0,Bitcoin.com,https://news.bitcoin.com/bitcoin-cash-adoption-continues-to-spread-in-north-queensland-and-japan/,https://images.cryptocompare.com/news/bitcoin.com/b2p9IPdwC00.jpeg
13285175,https://ambcrypto.com/?p=104000,1563921004,Honestnode’s Jian Shi claims Bitcoin Cash network’s first stablecoin complies with every regulation,"The Bitcoin Cash network recently launched its first stablecoin, Honestcoin (USDH), created by the Honestnode team using the simple ledger protocol (SLP). The stablecoin is backed by the U.S. Dollar with a ratio of 1:1, and the Honestnode team is reportedly working on improving the stablecoin&apos;s use-cases. In an interview with Bitcoin.com , Jian Shi, Founder ...The post Honestnode&apos;s Jian Shi claims Bitcoin Cash network&apos;s first stablecoin complies with every regulation appeared first on AMBCrypto.",POSITIVE,없음,BCH | BLOCKCHAIN | FIAT | REGULATION | WALLET,,0,0,AMB Crypto,https://ambcrypto.com/honestnodes-jian-shi-claims-that-bitcoin-cash-networks-first-stablecoin-complies-with-every-regulation/,https://images.cryptocompare.com/news/ambcrypto/9i4IX8grzAg.jpeg
13358364,https://cointelegraph.com/news/philippines-based-unionbank-completes-blockchain-remittances-pilot,1563920400,Philippines-Based UnionBank Completes Blockchain Remittances Pilot,The Philippines-based UnionBank has completed a blockchain-based remittance pilot as part of an ongoing effort to expand financial inclusion,POSITIVE,없음,ASIA | BLOCKCHAIN,,0,0,CoinTelegraph,https://cointelegraph.com/news/philippines-based-unionbank-completes-blockchain-remittances-pilot,https://images.cryptocompare.com/news/cointelegraph/d80w88g8ikk.png
13231491,https://www.newsbtc.com/?p=390880,1563919225,Industry Leader Claims U.S. Outlawing Crypto Ownership Would be “Worst Case Scenario”,"Although most of the crypto industry has long known that the US is far behind other countries in terms of implementing &apos;do no harm&apos; regulations on nascent markets, recent comments from President Donald Trump and Treasury Secretary Steve Mnuchin have signaled that rather than creating a &apos;sand-box&apos; regulatory environment for Bitcoin and cryptocurrencies, they will...The post Industry Leader Claims U.S. Outlawing Crypto Ownership Would be &apos;Worst Case Scenario&apos; appeared first on NewsBTC.",POSITIVE,BTC,BTC | MARKET | REGULATION,,0,0,NewsBTC,https://www.newsbtc.com/2019/07/23/industry-leader-claims-u-s-outlawing-crypto-ownership-would-be-worst-case-scenario/,https://images.cryptocompare.com/news/newsbtc/bnimM00W080.jpeg
13450426,https://bitcoinist.com/?p=113610,1563919205,Saurel Offers Convincing Reasons Why Bitcoin is Better than Cash,"People are becoming increasingly aware of the advantages of using Bitcoin. Now, developer Sylvain Saurel identifies several compelling reasons for preferring Bitcoin over conventional currencies. &apos;Bitcoin is Better than Cash&apos; The combination of an obsolete banking system and a three-thousand-year-old fiat monetary system is becoming incompatible with the new borderless, decentralized, and fast-moving digital economic model. As a result, a growing number of industry experts agree that BTC is better than cash. For example, inRead MoreThe post Saurel Offers Convincing Reasons Why Bitcoin is Better than Cash appeared first on Bitcoinist.com.",POSITIVE,BTC,BLOCKCHAIN | BTC | FIAT,,0,0,Bitcoinist,https://bitcoinist.com/saurel-offers-convincing-reasons-why-bitcoin-is-better-than-cash/,https://images.cryptocompare.com/news/bitcoinist/eSwx4582a20.jpeg
13358365,https://cointelegraph.com/news/new-york-regulators-designate-new-division-to-license-crypto-businesses,1563919200,New York Regulators Designate New Division to License Crypto Businesses,New York regulators have formed a new division for licensing and supervising cryptocurrency-related businesses,POSITIVE,없음,BLOCKCHAIN,,0,0,CoinTelegraph,https://cointelegraph.com/news/new-york-regulators-designate-new-division-to-license-crypto-businesses,https://images.cryptocompare.com/news/cointelegraph/cFwdzXNYcg7.png
