뉴스ID,뉴스GUID,일자(UTC timestamp),뉴스제목,본문,SENTIMENT,주요코인,카테고리,작성자,추천수,비추천수,출처,뉴스URL,이미지URL
42375990,0r6Zag11PPDEMKgUWwDRvf,1634687159,US Lawmakers Push Back on Facebook’s Novi Wallet Launch,"WASHINGTON, D.C. – A group of U.S. lawmakers say Facebook cannot be trusted to launch a digital currency.  In a Tuesday missive, U.S. Senators Brian Schatz (D-Hawaii), Sherrod Brown (D-Ohio), Richard Blumenthal (D-Conn.), Elizabeth Warren (D-Mass.) and Tina Smith (D-Minn.) ordered Facebook CEO Mark Zuckerberg to “immediately discontinue the company’s pilot of Novi” and end its work on the diem stablecoin project.  The lawmakers said Facebook cannot be trusted to protect user data or manage a payments network, in an open letter Tuesday just hours after Facebook announced it was launching a pilot program for its Novi wallet subsidiary in the U.S. and Guatemala.  Read more: Facebook’s Novi Taps Paxos, Coinbase Ahead of Diem Rollout  Under the pilot project, Facebook will let users purchase Paxos dollars (USDP) and custody the funds with Coinbase.  ”We urge you to immediately discontinue your Novi pilot and to commit that you will not bring Diem to market,” the lawmakers wrote on Tuesday.  Libra 2.0  The backlash is reminiscent of the response to the original libra announcement. At the time, Facebook unveiled a massive stablecoin vision that drew the ire of lawmakers and regulators around the world, including both the U.S. House of Representatives and the Senate.  Tuesday’s letter referenced the past pushback, and noted that at the time both Zuckerberg and Facebook payments chief David Marcus had committed to not launching until they had secured regulatory approvals.  “To be clear, your ability to secure state-issued money transmitter licenses is not equivalent to obtaining the blessing of ‘all U.S. regulators,’ as you said in your testimony two years ago,” the letter said.  The lawmakers also pointed to Facebook’s other interactions with Congress, including allegations that the company may have misled lawmakers in the past.  Tuesday’s letter also pointed to the fact finance regulators are currently examining the global stablecoin industry, with at least one set of recommendations expected soon from the President’s Working Group on Financial Markets.  “In addition to the risks products like Diem pose to financial stability, you have not offered a satisfactory explanation for how Diem will prevent illicit financial flows and other criminal activity,” they wrote.  After the publication of this article, a Novi spokesperson said, “We look forward to responding to the Committee’s letter.”  UPDATE (Oct. 20, 2021, 04:50 UTC): Adds Novi statement.",NEGATIVE,없음,EXCHANGE | MARKET | REGULATION,Nikhilesh De,0,0,CoinDesk,https://coindesk.com/policy/2021/10/19/us-lawmakers-push-back-on-facebooks-novi-wallet-launch,https://cdn.sanity.io/images/s3y3vcno/production/b87be7b01edc77465b8f5ee85625a0a09dfc513d-1600x1067.jpg?w=300&h=300&fit=crop
42375993,0r6Zag11PPDEMKgUWwDRzR,1634687131,Multicoin Capital to Raise $250M for Its Third Crypto Fund: Report,"Multicoin Capital, an investment firm focused on cryptocurrency and blockchain companies, is planning to raise $250 million for its third crypto-focused venture fund, according to an article by The Information.  The firm, which is based in Austin, Texas, intends to complete the fundraising by the end of this year, according to the story, which cited fundraising materials that the publication had seen.  The initiative comes less than six months after Multicoin Capital raised $100 million for its second crypto venture fund.  It is the latest in a series of large funds that major venture capital firms have created this year or are creating to focus on cryptocurrency and blockchain projects. In June, Andreessen Horowitz raised $2.2 billion for its third crypto fund. Paradigm, the cryptocurrency venture capital firm led by Fred Ehrsam, who co-founded crypto exchange Coinbase, is looking to close a $1.5 billion fund for startup investments, according to documents viewed by CoinDesk.  Multicoin Capital will be looking to invest in crypto companies that others might miss as managing partner Tushar Jain has called blockchain “the best social good in the world.”  In an email to CoinDesk, a Multicoin Capital spokesperson said the firm had no comment on The Information report.  Read more: Multicoin Raises $100M for New Crypto Venture Fund  UPDATE (Oct. 19, 0:47 UTC): Adds reply from Multicoin Capital spokesperson.",POSITIVE,없음,BLOCKCHAIN | EXCHANGE,James Rubin,0,0,CoinDesk,https://coindesk.com/business/2021/10/19/multicoin-capital-to-raise-250m-for-third-crypto-fund-report,https://cdn.sanity.io/images/s3y3vcno/production/c4d99a576f43256670a4720ff1ebb246b424e5ea-1500x1000.jpg?w=300&h=300&fit=crop
42376001,0r6Zag11PPDEMKgUWwDS8F,1634687022,"Market Wrap: ProShares Bitcoin Strategy ETF Rises in Trading Debut, Sending BTC Higher","Bitcoin rose to a six-month high at around $63,000 as the ProShares Bitcoin Strategy ETF (NYSE: BITO), the first bitcoin-related exchange-traded fund to trade in the U.S., made its debut on Tuesday.  BITO ended the trading day up 4.65% at near $41.80 per share. As of 4:02 p.m. ET, shortly after the close of U.S. stock markets on Monday, the ETF’s trading volume had reached 23.9 million shares, worth more than $1 billion based on the closing price, ranking the investment vehicle as one of the top ETF launches in history.  Dave Nadig, director of research at ETF Trends, tweeted that trading in BITO appeared “orderly” and “stable” in the early moments after the ETF went live.  BITO is structured to invest in bitcoin futures contracts traded on the Chicago Mercantile Exchange, rather than investing in the cryptocurrency directly, which is one reason why some analysts don’t expect the fund to have a significant impact on BTC’s spot price.  “We do not expect the introduction of futures ETFs to drive a price impact as significant as we would see from a pure spot Bitcoin ETF vehicle,” Christopher Brendler, managing director at asset management firm D.A. Davidson, wrote in an email to CoinDesk.  Brendler also mentioned that contango can cause losses for some investors in commodity ETFs that use futures contracts. Contango occurs when the futures price of a commodity is higher than the spot price. “But these losses can be avoided by buying ETFs that hold actual commodities,” Brendler wrote.  Latest Prices  Bitcoin (BTC): $64,016, +4.42%  Ether (ETH): $3,810, +1.98%  S&P 500: $4,519, +0.74%  Gold: $1,769, +0.33%  10-year Treasury yield closed at 1.63%  Bullish price action  In the spot market, BTC was well bid, rising about 3% over the past 24 hours. Buyers remained active after quickly absorbing a large sell order on crypto exchange OKEx during Asian daytime trading hours on Tuesday, CoinDesk’s Lyllah Ledesma reported.  And price action suggests bitcoin may be approaching another bullish rally.  BTC recorded its highest weekly close on record last week, topping the $61,500 weekly close on April 6, according to crypto research firm Delphi Digital. “Last week was one of the most decisive uptrends since Jan. 2021,” the firm wrote in a blog post.  Bitcoin options activity rises  Trading volume in the BTC options market accelerated over the past week, rising to $1.5 billion as investors anticipated the bitcoin futures ETF launch on Tuesday.  “Options trade volume has only reached levels this high on three prior occasions, all at similar price points [around $60,000 BTC] between March and May this year,” crypto data firm Glassnode wrote in a blog post.  A majority of positions appear to be call options, which gives the option buyer the right to purchase the underlying asset in the future at a predetermined price.  The chart below shows large open interest in call options with strike prices above $100,000 BTC expiring at the end of the year. That aligns with the overall bullish market sentiment, according to Glassnode.  Altcoin roundup  DraftKings to become Polygon validator: Sports betting giant DraftKings plans to work with the Polygon network to support the releases of custom non-fungible tokens and secondary-market transactions in its latest move to tap into the crypto industry, CoinDesk’s Eli Tan reported. The partnership will also allow DraftKings to contribute to Polygon’s governance, which gives token holders the option to suggest changes to the network after staking their tokens on the platform. Polygon expects DrafKing’s governance will start “in the next month,” a representative told CoinDesk.  Facebook’s Novi wallet goes live with Paxos stablecoin: Novi, Facebook’s digital wallet subsidiary, will go live and allow users to trade the paxos dollar (USDP) in a pilot program in the U.S. and Guatemala. Crypto exchange Coinbase will provide custody services for the program, CoinDesk’s Nikhilesh De reported. Facebook’s diem (formerly libra) stablecoin is expected to launch with Novi “once it receives regulatory approval and goes live,” according to a Facebook press release.  Sequoia Games Brings Augmented Reality to Board Games Using Algorand Blockchain: Algorand will be the digital ledger for Sequoia Games’ new Flex NBA product, an National Basketball Association-licensed board game that uses augmented reality, Eli Tan reported. Users create rosters using physical collectible tiles called “Flexagons,” which represent NBA players and are expressed as NFTs. It is the latest example of a company using blockchain technology in games.  Relevant News  Demand Spike on Binance Played Key Role in Bitcoin Rally: Kaiko  Grayscale Files With SEC to Convert Its Bitcoin Trust Into an ETF  How Riot Plans to Add Hashrate Without Adding Miners  Chainalysis Adds Bitcoin to Balance Sheet  Other markets  Most digital assets in the CoinDesk 20 ended the day higher.  Notable winners as of 21:00 UTC (4:00 p.m. ET):  Aave (AAVE), +1.57%  Bitcoin Cash (BCH), +1.16%  Filecoin (FIL), +0.43%  Notable losers:  Dogecoin (DOGE), -3.33%  Algorand (ALG), -3.05%  Polygon (MATIC), -2.96%",POSITIVE,BCH | MATIC,BCH | EXCHANGE | MARKET | MATIC | TRADING,"Damanick Dantes, Helene Braun",0,0,CoinDesk,https://coindesk.com/markets/2021/10/19/market-wrap-proshares-bitcoin-etf-rises-in-trading-debut-sending-btc-higher,https://cdn.sanity.io/images/s3y3vcno/production/4ebdad5ec62816dfe8a21285538317ece53c4a95-1440x1080.png?w=300&h=300&fit=crop
13481918,https://cryptobriefing.com/?p=98136,1634686665,Facebook Launches Novi Wallet With Paxos Stablecoin,,POSITIVE,없음,EXCHANGE,,0,0,Crypto Briefing,https://cryptobriefing.com/facebook-launches-novi-wallet-with-paxos-stablecoin/?utm_source=main_feed&utm_medium=rss,https://images.cryptocompare.com/news/default/cryptobriefing.png
13269836,https://ambcrypto.com/?p=193153,1634686211,Seven consecutive adjustments in mining difficulty indicate this for Bitcoin,"Bitcoin mining operations are on the path to full recovery, following the most dramatic short-term disruption in network history earlier this year, and miners are reaping the rewards in revenues. Analysts have expressed the same in the past, i.e. both the hash rate and mining difficulty are both on a &apos;consistent path to recovery.&apos; Here&apos;s ...",POSITIVE,없음,BTC | MINING,,0,0,AMB Crypto,https://ambcrypto.com/seven-consecutive-adjustments-in-bitcoin-mining-difficulty-indicates-this/,https://images.cryptocompare.com/news/default/ambcrypto.png
13481919,https://cryptobriefing.com/?p=98078,1634685909,OpenOcean Atlantic Outperforms Returns By Other Leading DEX Aggregators,,POSITIVE,없음,OTHER,,0,0,Crypto Briefing,https://cryptobriefing.com/openocean-atlantic-outperforms-returns-by-other-leading-dex-aggregators/?utm_source=main_feed&utm_medium=rss,https://images.cryptocompare.com/news/default/cryptobriefing.png
13412620,https://blockworks.co/?p=9606,1634685212,Hindenburg Research Targets Tether with $1M Bounty Program,"Tether receives more scrutiny, this time from Hindenburg Research as they launch a bounty program in search o more clarity regarding the company&apos;s reserves. The post Hindenburg Research Targets Tether with $1M Bounty Program appeared first on Blockworks.",NEUTRAL,없음,MARKET | USDT | RESEARCH,,0,0,Blockworks,https://blockworks.co/hindenburg-research-targets-tether-with-1m-bounty-program/,https://images.cryptocompare.com/news/default/blockworks.png
13269837,https://ambcrypto.com/?p=193232,1634684448,Nobility: Bridging the gap between esports and cryptocurrency,"Nobility, a fine name for a fine project. The first to bridge the gap between esports gaming and cryptocurrency. At first glance, it seems like any other professional eSports outfit but under the hood, they are hiding a whole armory of features that you are already missing out on! They are hosting tournaments with lucrative ...",POSITIVE,없음,SPONSORED,,0,0,AMB Crypto,https://ambcrypto.com/nobility-bridging-the-gap-between-esports-and-cryptocurrency/,https://images.cryptocompare.com/news/default/ambcrypto.png
13444088,https://bitcoinist.com/?p=161935,1634684420,Why Grayscale’s CEO Believes The SEC Will Greenlight An Ethereum ETF,"Grayscale CEO Michael Sonnenshein has said the SEC will now be more inclined to approve an Ethereum ETF. The United States saw the first approved Bitcoin ETF last week. It marked the end of an eight-year-long since the first bitcoin ETF was filed. ProShares saw the approval of its Bitcoin Futures ETF on Monday, October ...",POSITIVE,없음,BTC | ETH | REGULATION,,0,0,Bitcoinist,https://bitcoinist.com/why-grayscales-ceo-believes-the-sec-will-greenlight-an-ethereum-etf/?utm_source=rss&utm_medium=rss&utm_campaign=why-grayscales-ceo-believes-the-sec-will-greenlight-an-ethereum-etf,https://images.cryptocompare.com/news/default/bitcoinist.png
13222375,https://www.newsbtc.com/?p=474100,1634684411,"Wall Street Strategist Puts Bitcoin As High As $168,000 By Year-End","Co-founder of Fundstrat and Wall Street Strategist Tom Lee has revealed his expectations for bitcoin before the year runs out. According to a Bloomberg report, Lee revealed that he had high expectations for the digital asset, which he believes would hit the $100,000 mark by the end of the year, and added that the asset could go as high as $168,000 before the year runs out. Lee has always maintained a bullish stance on cryptocurrencies. He had earlier stated that he expected the asset to hit $100,000 this year. Now, Lee looks to be doubling down on this prediction which he had made back in May. Related Reading | Strike Launches New Feature To Allow Users Convert Salaries To Bitcoin The asset&apos;s volatility has never worried the Wall Street strategist who acknowledges the highly volatile nature of it. &apos;I think bitcoin is hyper-volatile,&apos; Lee told TechCheck in May. &apos;That&apos;s the nature of it, but that&apos;s what creates the reward for people.&apos; ETFs Are The Driving Force Behind Prediction The co-founder also explained the factors driving his price prediction for the digital asset. He drives the point back to the recent ETF approvals that bitcoin had seen recently. The first U.S. Bitcoin Futures ETF is scheduled to begin trading this week and Lee believes that the ETF approvals are the major reason behind the asset hitting the $100K price mark. BTC price sits above $62,000 | Source: BTCUSD on TradingView.com Adoption is the name ...",POSITIVE,BTC,BTC | MINING | TRADING,,0,0,NewsBTC,https://www.newsbtc.com/news/bitcoin/strategist-puts-bitcoin-at-168000/,https://images.cryptocompare.com/news/default/newsbtc.png
